date,symbol,open,high,low,close,volume,adjusted,divd,split
2012-01-03,VGT,62.53,62.84,62.11,62.23,162300,55.7689126411,0.0,1.0
2012-01-04,VGT,62.16,62.4088,61.7,62.29,92900,55.8226830856,0.0,1.0
2012-01-05,VGT,62.31,62.86,62.0,62.75,127100,56.2349231598,0.0,1.0
2012-01-06,VGT,62.82,62.93,62.44,62.79,122000,56.2707701227,0.0,1.0
2012-01-09,VGT,63.0,63.0025,62.52,62.79,107000,56.2707701227,0.0,1.0
2012-01-10,VGT,63.45,63.53,63.0,63.11,276800,56.5575458265,0.0,1.0
2012-01-11,VGT,63.03,63.43,62.8695,63.29,117200,56.7188571599,0.0,1.0
2012-01-12,VGT,63.42,63.67,62.99,63.61,192000,57.0056328636,0.0,1.0
2012-01-13,VGT,63.25,63.262,62.7035,63.12,117000,56.5665075672,0.0,1.0
2012-01-17,VGT,63.54,63.862,63.26,63.43,163600,56.8443215303,0.0,1.0
2012-01-18,VGT,63.7,64.62,63.59,64.6,170600,57.8928451971,0.0,1.0
2012-01-19,VGT,65.09,65.33,64.91,65.18,176300,58.4126261602,0.0,1.0
2012-01-20,VGT,65.06,65.41,65.0,65.35,144100,58.5649757528,0.0,1.0
2012-01-23,VGT,65.47,65.87,65.04,65.5399,135400,58.7351592095,0.0,1.0
2012-01-24,VGT,65.26,65.84,65.22,65.7,260300,58.8786366788,0.0,1.0
2012-01-25,VGT,66.32,66.3625,65.6,66.17,260200,59.2998384937,0.0,1.0
2012-01-26,VGT,66.5,66.657,65.59,65.89,293400,59.0489097529,0.0,1.0
2012-01-27,VGT,65.71,66.1282,65.52,66.03,158600,59.1743741233,0.0,1.0
2012-01-30,VGT,65.64,66.214,65.36,66.1,205200,59.2371063085,0.0,1.0
2012-01-31,VGT,66.55,66.57,65.79,66.23,183500,59.3536089382,0.0,1.0
2012-02-01,VGT,66.87,67.3,66.5828,67.0099,330000,60.0525350987,0.0,1.0
2012-02-02,VGT,67.17,67.5506,67.08,67.26,212800,60.2766682347,0.0,1.0
2012-02-03,VGT,67.96,68.42,67.74,68.29,316300,61.1997275311,0.0,1.0
2012-02-06,VGT,68.13,68.28,67.87,68.26,231800,61.1728423089,0.0,1.0
2012-02-07,VGT,68.16,68.56,67.88,68.39,286500,61.2893449386,0.0,1.0
2012-02-08,VGT,68.51,68.89,68.3,68.88,189800,61.728470235,0.0,1.0
2012-02-09,VGT,69.16,69.59,68.92,69.51,184000,62.2930599017,0.0,1.0
2012-02-10,VGT,69.17,69.17,68.6928,68.91,159400,61.7553554572,0.0,1.0
2012-02-13,VGT,69.54,69.56,68.92,69.39,226700,62.1855190128,0.0,1.0
2012-02-14,VGT,69.18,69.47,68.89,69.47,202800,62.2572129388,0.0,1.0
2012-02-15,VGT,69.75,70.3493,69.0259,69.13,421900,61.9525137535,0.0,1.0
2012-02-16,VGT,69.17,70.33,69.1,70.29,148700,62.9920756797,0.0,1.0
2012-02-17,VGT,70.53,70.53,69.94,70.2,165600,62.911420013,0.0,1.0
2012-02-21,VGT,70.36,70.7136,69.91,70.37,289500,63.0637696056,0.0,1.0
2012-02-22,VGT,70.33,70.45,69.9393,69.99,189100,62.7232234574,0.0,1.0
2012-02-23,VGT,70.02,70.4844,69.58,70.43,114900,63.1175400501,0.0,1.0
2012-02-24,VGT,70.65,70.89,70.54,70.74,145700,63.3953540131,0.0,1.0
2012-02-27,VGT,70.43,71.08,69.95,70.84,277000,63.4849714205,0.0,1.0
2012-02-28,VGT,70.99,71.36,70.8,71.3,209100,63.8972114947,0.0,1.0
2012-02-29,VGT,71.55,71.71,70.62,70.85,308300,63.4939331613,0.0,1.0
2012-03-01,VGT,71.05,71.52,70.99,71.34,188300,63.9330584576,0.0,1.0
2012-03-02,VGT,71.36,71.479,70.858,71.08,158400,63.7000531983,0.0,1.0
2012-03-05,VGT,71.15,71.15,70.05,70.35,359900,63.0458461241,0.0,1.0
2012-03-06,VGT,69.59,69.6571,69.12,69.44,381000,62.2303277165,0.0,1.0
2012-03-07,VGT,69.71,70.19,69.71,70.06,208500,62.7859556426,0.0,1.0
2012-03-08,VGT,70.66,71.06,70.326,70.89,186200,63.5297801242,0.0,1.0
2012-03-09,VGT,70.89,71.41,70.89,71.26,217700,63.8613645317,0.0,1.0
2012-03-12,VGT,71.26,71.4,70.95,71.32,149400,63.9151349762,0.0,1.0
2012-03-13,VGT,71.7,72.76,71.665,72.76,237900,65.2056256431,0.0,1.0
2012-03-14,VGT,72.82,73.353,72.56,73.07,375000,65.4834396061,0.0,1.0
2012-03-15,VGT,73.31,73.529,73.02,73.33,200500,65.7164448654,0.0,1.0
2012-03-16,VGT,73.57,73.59,73.1501,73.336,165900,65.7218219099,0.0,1.0
2012-03-19,VGT,73.49,74.057,73.2107,73.86,238200,66.1914171248,0.0,1.0
